NAME,total_population,median_income,state,county,tract,GEOID
Census Tract 1.01; Mecklenburg County; North Carolina,1148,101587,37,119,000101,37119000101
Census Tract 1.02; Mecklenburg County; North Carolina,2741,123650,37,119,000102,37119000102
Census Tract 1.03; Mecklenburg County; North Carolina,2042,131398,37,119,000103,37119000103
Census Tract 1.04; Mecklenburg County; North Carolina,1619,109896,37,119,000104,37119000104
Census Tract 3.01; Mecklenburg County; North Carolina,954,82500,37,119,000301,37119000301
Census Tract 3.02; Mecklenburg County; North Carolina,1138,70703,37,119,000302,37119000302
Census Tract 4.01; Mecklenburg County; North Carolina,1809,88095,37,119,000401,37119000401
Census Tract 4.02; Mecklenburg County; North Carolina,2331,72978,37,119,000402,37119000402
Census Tract 5.01; Mecklenburg County; North Carolina,1936,66642,37,119,000501,37119000501
Census Tract 5.02; Mecklenburg County; North Carolina,1474,88583,37,119,000502,37119000502
Census Tract 5.03; Mecklenburg County; North Carolina,1500,70958,37,119,000503,37119000503
Census Tract 6; Mecklenburg County; North Carolina,4024,71331,37,119,000600,37119000600
Census Tract 7; Mecklenburg County; North Carolina,1707,72475,37,119,000700,37119000700
Census Tract 8; Mecklenburg County; North Carolina,3073,49839,37,119,000800,37119000800
Census Tract 9; Mecklenburg County; North Carolina,1742,106563,37,119,000900,37119000900
Census Tract 10; Mecklenburg County; North Carolina,3300,108750,37,119,001000,37119001000
Census Tract 11; Mecklenburg County; North Carolina,3484,105625,37,119,001100,37119001100
Census Tract 12; Mecklenburg County; North Carolina,5146,79737,37,119,001200,37119001200
Census Tract 13; Mecklenburg County; North Carolina,4079,58750,37,119,001300,37119001300
Census Tract 14; Mecklenburg County; North Carolina,3813,93405,37,119,001400,37119001400
Census Tract 15.04; Mecklenburg County; North Carolina,6749,50462,37,119,001504,37119001504
Census Tract 15.05; Mecklenburg County; North Carolina,4413,48207,37,119,001505,37119001505
Census Tract 15.07; Mecklenburg County; North Carolina,5209,46513,37,119,001507,37119001507
Census Tract 15.08; Mecklenburg County; North Carolina,6227,67808,37,119,001508,37119001508
Census Tract 15.09; Mecklenburg County; North Carolina,3577,60856,37,119,001509,37119001509
Census Tract 15.10; Mecklenburg County; North Carolina,3242,55373,37,119,001510,37119001510
Census Tract 16.03; Mecklenburg County; North Carolina,4540,56276,37,119,001603,37119001603
Census Tract 16.05; Mecklenburg County; North Carolina,1587,42798,37,119,001605,37119001605
Census Tract 16.06; Mecklenburg County; North Carolina,4502,78235,37,119,001606,37119001606
Census Tract 16.07; Mecklenburg County; North Carolina,2609,38511,37,119,001607,37119001607
Census Tract 16.08; Mecklenburg County; North Carolina,4269,48224,37,119,001608,37119001608
Census Tract 16.09; Mecklenburg County; North Carolina,3114,53438,37,119,001609,37119001609
Census Tract 17.01; Mecklenburg County; North Carolina,4437,57004,37,119,001701,37119001701
Census Tract 17.02; Mecklenburg County; North Carolina,6671,59276,37,119,001702,37119001702
Census Tract 18.01; Mecklenburg County; North Carolina,1327,41857,37,119,001801,37119001801
Census Tract 18.02; Mecklenburg County; North Carolina,3503,62727,37,119,001802,37119001802
Census Tract 19.10; Mecklenburg County; North Carolina,5122,50570,37,119,001910,37119001910
Census Tract 19.11; Mecklenburg County; North Carolina,6049,51849,37,119,001911,37119001911
Census Tract 19.14; Mecklenburg County; North Carolina,4299,56250,37,119,001914,37119001914
Census Tract 19.16; Mecklenburg County; North Carolina,4242,53913,37,119,001916,37119001916
Census Tract 19.17; Mecklenburg County; North Carolina,4477,68992,37,119,001917,37119001917
Census Tract 19.18; Mecklenburg County; North Carolina,3923,46625,37,119,001918,37119001918
Census Tract 19.19; Mecklenburg County; North Carolina,4075,54926,37,119,001919,37119001919
Census Tract 19.20; Mecklenburg County; North Carolina,5388,62727,37,119,001920,37119001920
Census Tract 19.21; Mecklenburg County; North Carolina,2659,55481,37,119,001921,37119001921
Census Tract 19.22; Mecklenburg County; North Carolina,5517,57778,37,119,001922,37119001922
Census Tract 19.23; Mecklenburg County; North Carolina,4010,53922,37,119,001923,37119001923
Census Tract 19.24; Mecklenburg County; North Carolina,2732,34943,37,119,001924,37119001924
Census Tract 19.25; Mecklenburg County; North Carolina,4742,47684,37,119,001925,37119001925
Census Tract 19.26; Mecklenburg County; North Carolina,3260,47315,37,119,001926,37119001926
Census Tract 19.27; Mecklenburg County; North Carolina,3189,49429,37,119,001927,37119001927
Census Tract 20.04; Mecklenburg County; North Carolina,5645,97241,37,119,002004,37119002004
Census Tract 20.05; Mecklenburg County; North Carolina,2826,114716,37,119,002005,37119002005
Census Tract 20.06; Mecklenburg County; North Carolina,3771,127813,37,119,002006,37119002006
Census Tract 20.07; Mecklenburg County; North Carolina,2412,61250,37,119,002007,37119002007
Census Tract 20.08; Mecklenburg County; North Carolina,2843,157625,37,119,002008,37119002008
Census Tract 21; Mecklenburg County; North Carolina,3045,56432,37,119,002100,37119002100
Census Tract 22.01; Mecklenburg County; North Carolina,2733,160917,37,119,002201,37119002201
Census Tract 22.02; Mecklenburg County; North Carolina,3116,107004,37,119,002202,37119002202
Census Tract 23; Mecklenburg County; North Carolina,3178,20779,37,119,002300,37119002300
Census Tract 24; Mecklenburg County; North Carolina,3102,90679,37,119,002400,37119002400
Census Tract 25; Mecklenburg County; North Carolina,2335,92904,37,119,002500,37119002500
Census Tract 26; Mecklenburg County; North Carolina,1371,70208,37,119,002600,37119002600
Census Tract 27.01; Mecklenburg County; North Carolina,2925,236115,37,119,002701,37119002701
Census Tract 27.02; Mecklenburg County; North Carolina,5849,250001,37,119,002702,37119002702
Census Tract 28; Mecklenburg County; North Carolina,3777,250001,37,119,002800,37119002800
Census Tract 29.03; Mecklenburg County; North Carolina,4323,146158,37,119,002903,37119002903
Census Tract 29.05; Mecklenburg County; North Carolina,3363,186128,37,119,002905,37119002905
Census Tract 29.07; Mecklenburg County; North Carolina,3944,133056,37,119,002907,37119002907
Census Tract 29.08; Mecklenburg County; North Carolina,3400,127176,37,119,002908,37119002908
Census Tract 29.09; Mecklenburg County; North Carolina,1729,145966,37,119,002909,37119002909
Census Tract 29.10; Mecklenburg County; North Carolina,3190,126023,37,119,002910,37119002910
Census Tract 30.06; Mecklenburg County; North Carolina,4515,109429,37,119,003006,37119003006
Census Tract 30.08; Mecklenburg County; North Carolina,6248,120109,37,119,003008,37119003008
Census Tract 30.12; Mecklenburg County; North Carolina,4156,94191,37,119,003012,37119003012
Census Tract 30.13; Mecklenburg County; North Carolina,4886,184814,37,119,003013,37119003013
Census Tract 30.15; Mecklenburg County; North Carolina,5555,136625,37,119,003015,37119003015
Census Tract 30.16; Mecklenburg County; North Carolina,4639,105469,37,119,003016,37119003016
Census Tract 30.17; Mecklenburg County; North Carolina,3830,137692,37,119,003017,37119003017
Census Tract 30.18; Mecklenburg County; North Carolina,2449,108162,37,119,003018,37119003018
Census Tract 30.19; Mecklenburg County; North Carolina,2041,154700,37,119,003019,37119003019
Census Tract 30.20; Mecklenburg County; North Carolina,4332,238242,37,119,003020,37119003020
Census Tract 30.21; Mecklenburg County; North Carolina,2920,128875,37,119,003021,37119003021
Census Tract 30.22; Mecklenburg County; North Carolina,3890,153684,37,119,003022,37119003022
Census Tract 31.02; Mecklenburg County; North Carolina,4034,78163,37,119,003102,37119003102
Census Tract 31.05; Mecklenburg County; North Carolina,3716,103750,37,119,003105,37119003105
Census Tract 31.06; Mecklenburg County; North Carolina,4391,115582,37,119,003106,37119003106
Census Tract 31.08; Mecklenburg County; North Carolina,3455,46226,37,119,003108,37119003108
Census Tract 31.09; Mecklenburg County; North Carolina,4034,54432,37,119,003109,37119003109
Census Tract 31.10; Mecklenburg County; North Carolina,2290,120817,37,119,003110,37119003110
Census Tract 31.11; Mecklenburg County; North Carolina,3716,94429,37,119,003111,37119003111
Census Tract 32.01; Mecklenburg County; North Carolina,2553,77943,37,119,003201,37119003201
Census Tract 32.03; Mecklenburg County; North Carolina,2857,62757,37,119,003203,37119003203
Census Tract 32.04; Mecklenburg County; North Carolina,3204,86413,37,119,003204,37119003204
Census Tract 33.01; Mecklenburg County; North Carolina,1477,82167,37,119,003301,37119003301
Census Tract 33.02; Mecklenburg County; North Carolina,2661,100050,37,119,003302,37119003302
Census Tract 34.01; Mecklenburg County; North Carolina,1892,129978,37,119,003401,37119003401
Census Tract 34.02; Mecklenburg County; North Carolina,3616,179254,37,119,003402,37119003402
Census Tract 35; Mecklenburg County; North Carolina,2729,106941,37,119,003500,37119003500
Census Tract 36; Mecklenburg County; North Carolina,3838,78672,37,119,003600,37119003600
Census Tract 37.01; Mecklenburg County; North Carolina,1728,83723,37,119,003701,37119003701
Census Tract 37.02; Mecklenburg County; North Carolina,2357,57115,37,119,003702,37119003702
Census Tract 38.02; Mecklenburg County; North Carolina,3226,44896,37,119,003802,37119003802
Census Tract 38.05; Mecklenburg County; North Carolina,3857,79730,37,119,003805,37119003805
Census Tract 38.07; Mecklenburg County; North Carolina,4581,46996,37,119,003807,37119003807
Census Tract 38.08; Mecklenburg County; North Carolina,6615,45135,37,119,003808,37119003808
Census Tract 38.09; Mecklenburg County; North Carolina,3777,58542,37,119,003809,37119003809
Census Tract 38.10; Mecklenburg County; North Carolina,4874,84328,37,119,003810,37119003810
Census Tract 38.11; Mecklenburg County; North Carolina,2270,61083,37,119,003811,37119003811
Census Tract 39.02; Mecklenburg County; North Carolina,5321,38247,37,119,003902,37119003902
Census Tract 39.03; Mecklenburg County; North Carolina,2198,22300,37,119,003903,37119003903
Census Tract 40; Mecklenburg County; North Carolina,3969,48295,37,119,004000,37119004000
Census Tract 41.01; Mecklenburg County; North Carolina,1913,75096,37,119,004101,37119004101
Census Tract 41.02; Mecklenburg County; North Carolina,2883,82167,37,119,004102,37119004102
Census Tract 42; Mecklenburg County; North Carolina,2690,47426,37,119,004200,37119004200
Census Tract 43.02; Mecklenburg County; North Carolina,4567,45839,37,119,004302,37119004302
Census Tract 43.03; Mecklenburg County; North Carolina,2962,74327,37,119,004303,37119004303
Census Tract 43.04; Mecklenburg County; North Carolina,4363,41304,37,119,004304,37119004304
Census Tract 43.06; Mecklenburg County; North Carolina,3942,63978,37,119,004306,37119004306
Census Tract 43.07; Mecklenburg County; North Carolina,4766,72539,37,119,004307,37119004307
Census Tract 44; Mecklenburg County; North Carolina,3913,42335,37,119,004400,37119004400
Census Tract 45; Mecklenburg County; North Carolina,3158,34849,37,119,004500,37119004500
Census Tract 46; Mecklenburg County; North Carolina,2443,39318,37,119,004600,37119004600
Census Tract 47; Mecklenburg County; North Carolina,1699,49539,37,119,004700,37119004700
Census Tract 48; Mecklenburg County; North Carolina,2865,30075,37,119,004800,37119004800
Census Tract 49; Mecklenburg County; North Carolina,831,52813,37,119,004900,37119004900
Census Tract 50; Mecklenburg County; North Carolina,2614,76087,37,119,005000,37119005000
Census Tract 51; Mecklenburg County; North Carolina,2650,28295,37,119,005100,37119005100
Census Tract 52; Mecklenburg County; North Carolina,1932,36372,37,119,005200,37119005200
Census Tract 53.01; Mecklenburg County; North Carolina,4481,40000,37,119,005301,37119005301
Census Tract 53.05; Mecklenburg County; North Carolina,4245,45767,37,119,005305,37119005305
Census Tract 53.06; Mecklenburg County; North Carolina,2258,39483,37,119,005306,37119005306
Census Tract 53.07; Mecklenburg County; North Carolina,4444,41086,37,119,005307,37119005307
Census Tract 53.08; Mecklenburg County; North Carolina,2423,37321,37,119,005308,37119005308
Census Tract 54.03; Mecklenburg County; North Carolina,6003,58333,37,119,005403,37119005403
Census Tract 54.04; Mecklenburg County; North Carolina,4439,52321,37,119,005404,37119005404
Census Tract 54.05; Mecklenburg County; North Carolina,2920,50625,37,119,005405,37119005405
Census Tract 54.06; Mecklenburg County; North Carolina,3967,48337,37,119,005406,37119005406
Census Tract 55.08; Mecklenburg County; North Carolina,4306,105320,37,119,005508,37119005508
Census Tract 55.10; Mecklenburg County; North Carolina,6717,62160,37,119,005510,37119005510
Census Tract 55.11; Mecklenburg County; North Carolina,3973,59193,37,119,005511,37119005511
Census Tract 55.12; Mecklenburg County; North Carolina,5654,58327,37,119,005512,37119005512
Census Tract 55.13; Mecklenburg County; North Carolina,4171,92528,37,119,005513,37119005513
Census Tract 55.15; Mecklenburg County; North Carolina,2610,89125,37,119,005515,37119005515
Census Tract 55.16; Mecklenburg County; North Carolina,1950,114018,37,119,005516,37119005516
Census Tract 55.17; Mecklenburg County; North Carolina,4049,104784,37,119,005517,37119005517
Census Tract 55.19; Mecklenburg County; North Carolina,5653,71194,37,119,005519,37119005519
Census Tract 55.20; Mecklenburg County; North Carolina,5100,110121,37,119,005520,37119005520
Census Tract 55.22; Mecklenburg County; North Carolina,5015,88977,37,119,005522,37119005522
Census Tract 55.25; Mecklenburg County; North Carolina,4457,81646,37,119,005525,37119005525
Census Tract 55.26; Mecklenburg County; North Carolina,2938,99706,37,119,005526,37119005526
Census Tract 55.27; Mecklenburg County; North Carolina,3031,77826,37,119,005527,37119005527
Census Tract 55.28; Mecklenburg County; North Carolina,4058,66503,37,119,005528,37119005528
Census Tract 55.29; Mecklenburg County; North Carolina,1497,75815,37,119,005529,37119005529
Census Tract 55.30; Mecklenburg County; North Carolina,3603,91555,37,119,005530,37119005530
Census Tract 55.31; Mecklenburg County; North Carolina,5984,71212,37,119,005531,37119005531
Census Tract 55.32; Mecklenburg County; North Carolina,4137,67108,37,119,005532,37119005532
Census Tract 55.33; Mecklenburg County; North Carolina,990,69583,37,119,005533,37119005533
Census Tract 55.34; Mecklenburg County; North Carolina,5057,51373,37,119,005534,37119005534
Census Tract 55.35; Mecklenburg County; North Carolina,4009,71438,37,119,005535,37119005535
Census Tract 55.36; Mecklenburg County; North Carolina,6145,66994,37,119,005536,37119005536
Census Tract 56.04; Mecklenburg County; North Carolina,5808,38698,37,119,005604,37119005604
Census Tract 56.09; Mecklenburg County; North Carolina,3484,26232,37,119,005609,37119005609
Census Tract 56.10; Mecklenburg County; North Carolina,2567,46677,37,119,005610,37119005610
Census Tract 56.11; Mecklenburg County; North Carolina,3997,66081,37,119,005611,37119005611
Census Tract 56.12; Mecklenburg County; North Carolina,5894,67330,37,119,005612,37119005612
Census Tract 56.13; Mecklenburg County; North Carolina,3829,99609,37,119,005613,37119005613
Census Tract 56.15; Mecklenburg County; North Carolina,2302,92500,37,119,005615,37119005615
Census Tract 56.16; Mecklenburg County; North Carolina,2472,76250,37,119,005616,37119005616
Census Tract 56.17; Mecklenburg County; North Carolina,2903,70938,37,119,005617,37119005617
Census Tract 56.18; Mecklenburg County; North Carolina,3523,99904,37,119,005618,37119005618
Census Tract 56.19; Mecklenburg County; North Carolina,4799,71250,37,119,005619,37119005619
Census Tract 56.21; Mecklenburg County; North Carolina,6331,73456,37,119,005621,37119005621
Census Tract 56.22; Mecklenburg County; North Carolina,1744,-666666666,37,119,005622,37119005622
Census Tract 56.23; Mecklenburg County; North Carolina,3779,47214,37,119,005623,37119005623
Census Tract 56.24; Mecklenburg County; North Carolina,2930,93000,37,119,005624,37119005624
Census Tract 56.25; Mecklenburg County; North Carolina,6676,93855,37,119,005625,37119005625
Census Tract 56.26; Mecklenburg County; North Carolina,3682,55466,37,119,005626,37119005626
Census Tract 56.27; Mecklenburg County; North Carolina,7891,70994,37,119,005627,37119005627
Census Tract 57.09; Mecklenburg County; North Carolina,4643,96765,37,119,005709,37119005709
Census Tract 57.10; Mecklenburg County; North Carolina,4924,62357,37,119,005710,37119005710
Census Tract 57.12; Mecklenburg County; North Carolina,3426,108750,37,119,005712,37119005712
Census Tract 57.13; Mecklenburg County; North Carolina,4398,114088,37,119,005713,37119005713
Census Tract 57.14; Mecklenburg County; North Carolina,6095,111611,37,119,005714,37119005714
Census Tract 57.15; Mecklenburg County; North Carolina,2932,92222,37,119,005715,37119005715
